partiID	condiID	gestureSet	trial	block	rep	fNmb	gesture	result	recFNmb	recGest	t1st(ms)	tEnd(ms)
2	1	Half	0	0	0	1	Flat	error			843	0
2	1	Half	1	0	0	1	Flat	error			1024	0
2	1	Half	2	0	0	3	Tip	error			51	0
2	1	Half	3	0	0	3	Tip	error			51	0
2	1	Half	4	0	0	1	Flat	error			803	0
2	1	Half	5	0	0	1	Flat	error			946	0
2	1	Half	6	0	0	3	Tip	correct	3	Tip	952	1203
2	1	Half	7	0	0	3	Tip	correct	3	Tip	800	1044
2	1	Half	8	0	0	1	Flat	error			745	0
2	1	Half	9	0	0	3	Tip	correct	3	Tip	736	970
2	1	Half	10	0	0	3	Tip	correct	3	Tip	599	793
2	1	Half	11	0	0	1	Flat	error			646	0
2	1	Half	0	1	0	1	Flat	error			755	0
2	1	Half	1	1	0	1	Flat	error			581	0
2	1	Half	2	1	0	3	Tip	correct	3	Tip	901	1207
2	1	Half	3	1	0	3	Tip	correct	3	Tip	1410	1637
2	1	Half	4	1	0	1	Flat	correct	1	Flat	963	1384
2	1	Half	5	1	0	1	Flat	error			903	0
2	1	Half	6	1	0	3	Tip	correct	3	Tip	1061	1313
2	1	Half	7	1	0	3	Tip	correct	3	Tip	986	1162
2	1	Half	8	1	0	1	Flat	error			879	0
2	1	Half	9	1	0	3	Tip	correct	3	Tip	854	1072
2	1	Half	10	1	0	3	Tip	correct	3	Tip	891	1076
2	1	Half	11	1	0	1	Flat	error			786	0
2	1	Half	0	2	0	1	Flat	error			876	0
2	1	Half	1	2	0	1	Flat	error			861	0
2	1	Half	2	2	0	3	Tip	correct	3	Tip	912	1161
2	1	Half	3	2	0	3	Tip	correct	3	Tip	978	1203
2	1	Half	4	2	0	1	Flat	error			952	0
2	1	Half	5	2	0	1	Flat	error			1398	0
2	1	Half	6	2	0	3	Tip	correct	3	Tip	979	1211
2	1	Half	7	2	0	3	Tip	correct	3	Tip	933	1150
2	1	Half	8	2	0	1	Flat	error			1096	0
2	1	Half	9	2	0	3	Tip	correct	3	Tip	791	1033
2	1	Half	10	2	0	3	Tip	correct	3	Tip	830	1022
2	1	Half	11	2	0	1	Flat	error			967	0
2	1	Half	0	3	0	1	Flat	error			1185	0
2	1	Half	1	3	0	1	Flat	error			865	0
2	1	Half	2	3	0	3	Tip	correct	3	Tip	1080	1363
2	1	Half	3	3	0	3	Tip	correct	3	Tip	778	988
2	1	Half	4	3	0	1	Flat	error			903	0
2	1	Half	5	3	0	1	Flat	error			946	0
2	1	Half	6	3	0	3	Tip	correct	3	Tip	806	1057
