partiID	condiID	gestureSet	trial	block	rep	fNmb	gesture	result	recFNmb	recGest	t1st(ms)	tEnd(ms)
2	1	Half	0	0	0	3	Tip	correct	3	Tip	796	941
2	1	Half	1	0	0	3	Tip	correct	3	Tip	657	779
2	1	Half	2	0	0	1	Flat	error			717	0
2	1	Half	3	0	0	3	Tip	correct	3	Tip	623	736
2	1	Half	4	0	0	1	Flat	correct	1	Flat	769	1002
2	1	Half	5	0	0	1	Flat	error			818	0
2	1	Half	6	0	0	3	Tip	correct	3	Tip	603	757
2	1	Half	7	0	0	3	Tip	correct	3	Tip	632	777
2	1	Half	8	0	0	1	Flat	correct	1	Flat	741	967
2	1	Half	9	0	0	1	Flat	correct	1	Flat	758	960
2	1	Half	10	0	0	3	Tip	correct	3	Tip	599	737
2	1	Half	11	0	0	1	Flat	correct	1	Flat	650	770
2	1	Half	0	1	0	3	Tip	correct	3	Tip	578	707
2	1	Half	1	1	0	3	Tip	correct	3	Tip	575	704
2	1	Half	2	1	0	1	Flat	error			683	0
2	1	Half	3	1	0	3	Tip	correct	3	Tip	602	747
2	1	Half	4	1	0	1	Flat	correct	1	Flat	657	802
2	1	Half	5	1	0	1	Flat	correct	1	Flat	897	1146
2	1	Half	6	1	0	3	Tip	correct	3	Tip	600	745
2	1	Half	7	1	0	3	Tip	correct	3	Tip	695	832
2	1	Half	8	1	0	1	Flat	correct	1	Flat	623	775
2	1	Half	9	1	0	1	Flat	error			668	0
2	1	Half	10	1	0	3	Tip	correct	3	Tip	547	693
2	1	Half	11	1	0	1	Flat	correct	1	Flat	703	879
2	1	Half	0	2	0	3	Tip	correct	3	Tip	586	727
2	1	Half	1	2	0	3	Tip	correct	3	Tip	583	695
2	1	Half	2	2	0	1	Flat	error			708	0
2	1	Half	3	2	0	3	Tip	correct	3	Tip	581	749
2	1	Half	4	2	0	1	Flat	correct	1	Flat	695	872
2	1	Half	5	2	0	1	Flat	correct	1	Flat	750	862
2	1	Half	6	2	0	3	Tip	correct	3	Tip	655	776
2	1	Half	7	2	0	3	Tip	correct	3	Tip	686	822
2	1	Half	8	2	0	1	Flat	error			663	0
2	1	Half	9	2	0	1	Flat	correct	1	Flat	668	844
2	1	Half	10	2	0	3	Tip	correct	3	Tip	550	678
2	1	Half	11	2	0	1	Flat	correct	1	Flat	677	862
2	1	Half	0	3	0	3	Tip	correct	3	Tip	575	710
2	1	Half	1	3	0	3	Tip	correct	3	Tip	689	809
2	1	Half	2	3	0	1	Flat	correct	1	Flat	725	886
2	1	Half	3	3	0	3	Tip	correct	3	Tip	548	676
2	1	Half	4	3	0	1	Flat	error			678	0
2	1	Half	5	3	0	1	Flat	correct	1	Flat	735	961
2	1	Half	6	3	0	3	Tip	error			563	0
2	1	Half	7	3	0	3	Tip	correct	3	Tip	575	728
2	1	Half	8	3	0	1	Flat	correct	1	Flat	726	887
2	1	Half	9	3	0	1	Flat	correct	1	Flat	671	856
2	1	Half	10	3	0	3	Tip	correct	3	Tip	603	764
2	1	Half	11	3	0	1	Flat	correct	1	Flat	660	835
2	1	Half	0	4	0	3	Tip	correct	3	Tip	586	747
2	1	Half	1	4	0	3	Tip	error			527	0
2	1	Half	2	4	0	1	Flat	correct	1	Flat	647	807
2	1	Half	3	4	0	3	Tip	correct	3	Tip	514	624
2	1	Half	4	4	0	1	Flat	error			620	0
2	1	Half	5	4	0	1	Flat	correct	1	Flat	617	785
2	1	Half	6	4	0	3	Tip	correct	3	Tip	540	660
2	1	Half	7	4	0	3	Tip	correct	3	Tip	560	689
2	1	Half	8	4	0	1	Flat	correct	1	Flat	619	771
2	1	Half	9	4	0	1	Flat	error			625	0
2	1	Half	10	4	0	3	Tip	correct	3	Tip	598	727
2	1	Half	11	4	0	1	Flat	error			629	0
2	2	Combined	0	0	0	3	Tip	correct	3	Tip	649	764
2	2	Combined	1	0	0	3	Tip	correct	3	Tip	677	790
2	2	Combined	2	0	0	1	Tip	correct	1	Tip	849	946
2	2	Combined	3	0	0	1	Tip	correct	1	Tip	588	685
2	2	Combined	4	0	0	3	Flat	error			685	0
2	2	Combined	5	0	0	1	Flat	error			1505	0
2	2	Combined	6	0	0	3	Flat	error			768	0
2	2	Combined	7	0	0	1	Tip	correct	1	Tip	670	782
2	2	Combined	8	0	0	3	Flat	error			744	0
2	2	Combined	9	0	0	3	Tip	correct	3	Tip	738	841
2	2	Combined	10	0	0	1	Flat	correct	1	Flat	735	910
2	2	Combined	11	0	0	1	Flat	correct	1	Flat	684	844
2	2	Combined	0	1	0	3	Tip	correct	3	Tip	662	773
2	2	Combined	1	1	0	3	Tip	correct	3	Tip	592	705
2	2	Combined	2	1	0	1	Tip	correct	1	Tip	640	769
2	2	Combined	3	1	0	1	Tip	correct	1	Tip	562	650
2	2	Combined	4	1	0	3	Flat	correct	3	Flat	944	1175
2	2	Combined	5	1	0	1	Flat	error			901	0
2	2	Combined	6	1	0	3	Flat	correct	3	Flat	751	947
2	2	Combined	7	1	0	1	Tip	correct	1	Tip	605	701
2	2	Combined	8	1	0	3	Flat	error			707	0
2	2	Combined	9	1	0	3	Tip	correct	3	Tip	681	792
2	2	Combined	10	1	0	1	Flat	correct	1	Flat	798	991
2	2	Combined	11	1	0	1	Flat	error			659	0
2	2	Combined	0	2	0	3	Tip	error			810	0
