partiID	condiID	gestureSet	trial	block	rep	fNmb	gesture	result	recFNmb	recGest	t1st(ms)	tEnd(ms)
1	0	Half	0	0	0	1	Tip	error			1093	0
1	0	Half	1	0	0	1	Tip	correct	1	Tip	746	828
1	0	Half	2	0	0	3	Flat	correct	3	Flat	841	965
1	0	Half	3	0	0	1	Tip	correct	1	Tip	726	790
1	0	Half	4	0	0	3	Flat	correct	3	Flat	748	843
1	0	Half	5	0	0	3	Flat	error			689	0
1	0	Half	6	0	0	1	Tip	correct	1	Tip	667	731
1	0	Half	7	0	0	3	Flat	correct	3	Flat	849	952
1	0	Half	8	0	0	1	Tip	correct	1	Tip	689	753
1	0	Half	9	0	0	3	Flat	correct	3	Flat	709	796
1	0	Half	10	0	0	1	Tip	correct	1	Tip	683	772
1	0	Half	11	0	0	3	Flat	correct	3	Flat	689	787
1	0	Half	0	1	0	1	Tip	correct	1	Tip	594	666
1	0	Half	1	1	0	1	Tip	correct	1	Tip	679	752
1	0	Half	2	1	0	3	Flat	correct	3	Flat	755	859
1	0	Half	3	1	0	1	Tip	correct	1	Tip	633	705
1	0	Half	4	1	0	3	Flat	error			656	0
1	0	Half	5	1	0	3	Flat	correct	3	Flat	646	676
1	0	Half	6	1	0	1	Tip	correct	1	Tip	574	655
1	0	Half	7	1	0	3	Flat	correct	3	Flat	629	733
1	0	Half	8	1	0	1	Tip	correct	1	Tip	520	577
1	0	Half	9	1	0	3	Flat	correct	3	Flat	627	764
1	0	Half	10	1	0	1	Tip	correct	1	Tip	495	559
1	0	Half	11	1	0	3	Flat	correct	3	Flat	534	589
1	0	Half	0	2	0	1	Tip	correct	1	Tip	498	546
1	0	Half	1	2	0	1	Tip	error			530	0
1	0	Half	2	2	0	3	Flat	error			696	0
1	0	Half	3	2	0	1	Tip	correct	1	Tip	610	667
1	0	Half	4	2	0	3	Flat	correct	3	Flat	708	820
1	0	Half	5	2	0	3	Flat	correct	3	Flat	787	882
1	0	Half	6	2	0	1	Tip	correct	1	Tip	523	587
1	0	Half	7	2	0	3	Flat	correct	3	Flat	653	749
1	0	Half	8	2	0	1	Tip	correct	1	Tip	440	504
1	0	Half	9	2	0	3	Flat	correct	3	Flat	682	777
1	0	Half	10	2	0	1	Tip	correct	1	Tip	407	479
1	0	Half	11	2	0	3	Flat	correct	3	Flat	649	759
1	0	Half	0	3	0	1	Tip	error			484	0
1	0	Half	1	3	0	1	Tip	correct	1	Tip	674	762
1	0	Half	2	3	0	3	Flat	correct	3	Flat	686	789
1	0	Half	3	3	0	1	Tip	error			658	0
1	0	Half	4	3	0	3	Flat	correct	3	Flat	704	826
1	0	Half	5	3	0	3	Flat	correct	3	Flat	794	947
1	0	Half	6	3	0	1	Tip	correct	1	Tip	690	778
1	0	Half	7	3	0	3	Flat	correct	3	Flat	609	724
1	0	Half	8	3	0	1	Tip	correct	1	Tip	594	675
1	0	Half	9	3	0	3	Flat	correct	3	Flat	612	728
1	0	Half	10	3	0	1	Tip	correct	1	Tip	630	710
1	0	Half	11	3	0	3	Flat	correct	3	Flat	602	676
1	0	Half	0	4	0	1	Tip	correct	1	Tip	608	697
1	0	Half	1	4	0	1	Tip	error			532	0
1	0	Half	2	4	0	3	Flat	correct	3	Flat	644	757
1	0	Half	3	4	0	1	Tip	correct	1	Tip	562	626
1	0	Half	4	4	0	3	Flat	correct	3	Flat	637	741
1	0	Half	5	4	0	3	Flat	correct	3	Flat	638	725
1	0	Half	6	4	0	1	Tip	error			570	0
1	0	Half	7	4	0	3	Flat	correct	3	Flat	698	810
1	0	Half	8	4	0	1	Tip	correct	1	Tip	548	645
1	0	Half	9	4	0	3	Flat	correct	3	Flat	726	853
1	0	Half	10	4	0	1	Tip	error			569	0
